PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"35814334","Conserved recombination patterns across coronavirus subgenera","de Klerk A, Swanepoel P, Lourens R, Zondo M, Abodunran I, Lytras S, MacLean OA, Robertson D, Kosakovsky Pond SL, Zehr JD, Kumar V, Stanhope MJ, Harkins G, Murrell B, Martin DP.","Virus Evol. 2022 Jun 14;8(2):veac054. doi: 10.1093/ve/veac054. eCollection 2022.","de Klerk A","Virus Evol","2022","2022/07/11","PMC9261289",',"10.1093/ve/veac054"
"32381734","Sampling bias and incorrect rooting make phylogenetic network tracing of SARS-COV-2 infections unreliable","Mavian C, Pond SK, Marini S, Magalis BR, Vandamme AM, Dellicour S, Scarpino SV, Houldcroft C, Villabona-Arenas J, Paisie TK, Trovão NS, Boucher C, Zhang Y, Scheuermann RH, Gascuel O, Lam TT, Suchard MA, Abecasis A, Wilkinson E, de Oliveira T, Bento AI, Schmidt HA, Martin D, Hadfield J, Faria N, Grubaugh ND, Neher RA, Baele G, Lemey P, Stadler T, Albert J, Crandall KA, Leitner T, Stamatakis A, Prosperi M, Salemi M.","Proc Natl Acad Sci U S A. 2020 Jun 9;117(23):12522-12523. doi: 10.1073/pnas.2007295117. Epub 2020 May 7.","Mavian C","Proc Natl Acad Sci U S A","2020","2020/05/09","PMC7293693",',"10.1073/pnas.2007295117"
"34535792","The biological and clinical significance of emerging SARS-CoV-2 variants","Tao K, Tzou PL, Nouhin J, Gupta RK, de Oliveira T, Kosakovsky Pond SL, Fera D, Shafer RW.","Nat Rev Genet. 2021 Dec;22(12):757-773. doi: 10.1038/s41576-021-00408-x. Epub 2021 Sep 17.","Tao K","Nat Rev Genet","2021","2021/09/18","PMC8447121",',"10.1038/s41576-021-00408-x"
"34492694","Effective Human Immunodeficiency Virus Molecular Surveillance Requires Identification of Incident Cases of Infection","Little SJ, Chen T, Wang R, Anderson C, Pond SK, Nakazawa M, Mathews WC, DeGruttola V, Smith DM.","Clin Infect Dis. 2021 Sep 7;73(5):842-849. doi: 10.1093/cid/ciab140.","Little SJ","Clin Infect Dis","2021","2021/09/07","PMC8423467",',"10.1093/cid/ciab140"
"39975314","A new comparative framework for estimating selection on synonymous substitutions","Verdonk H, Pivirotto A, Pavinato V, Hey J, Pond SL.","bioRxiv [Preprint]. 2025 Feb 6:2024.09.17.613331. doi: 10.1101/2024.09.17.613331.","Verdonk H","bioRxiv","2025","2025/02/20","PMC11838523",',"10.1101/2024.09.17.613331"
"35075458","RASCL: Rapid Assessment Of SARS-CoV-2 Clades Through Molecular Sequence Analysis","Lucaci AG, Zehr JD, Shank SD, Bouvier D, Mei H, Nekrutenko A, Martin DP, Kosakovsky Pond SL.","bioRxiv [Preprint]. 2022 Jan 18:2022.01.15.476448. doi: 10.1101/2022.01.15.476448.","Lucaci AG","bioRxiv","2022","2022/01/25","PMC8786235",',"10.1101/2022.01.15.476448"
"28202767","Genotype-Specific Evolution of Hepatitis E Virus","Brayne AB, Dearlove BL, Lester JS, Kosakovsky Pond SL, Frost SDW.","J Virol. 2017 Apr 13;91(9):e02241-16. doi: 10.1128/JVI.02241-16. Print 2017 May 1.","Brayne AB","J Virol","2017","2017/02/17","PMC5391457",',"10.1128/JVI.02241-16"
"35678958","Human HspB1, HspB3, HspB5 and HspB8: Shaping these disease factors during vertebrate evolution","Benndorf R, Velazquez R, Zehr JD, Pond SLK, Martin JL, Lucaci AG.","Cell Stress Chaperones. 2022 Jul;27(4):309-323. doi: 10.1007/s12192-022-01268-y. Epub 2022 Jun 9.","Benndorf R","Cell Stress Chaperones","2022","2022/06/09","PMC9346038",',"10.1007/s12192-022-01268-y"
"36334368","Sierra SARS-CoV-2 sequence and antiviral resistance analysis program","Tzou PL, Tao K, Sahoo MK, Kosakovsky Pond SL, Pinsky BA, Shafer RW.","J Clin Virol. 2022 Dec;157:105323. doi: 10.1016/j.jcv.2022.105323. Epub 2022 Oct 22.","Tzou PL","J Clin Virol","2022","2022/11/05","PMC9595491",',"10.1016/j.jcv.2022.105323"
"26814962","Persistent HIV-1 replication maintains the tissue reservoir during therapy","Lorenzo-Redondo R, Fryer HR, Bedford T, Kim EY, Archer J, Pond SLK, Chung YS, Penugonda S, Chipman J, Fletcher CV, Schacker TW, Malim MH, Rambaut A, Haase AT, McLean AR, Wolinsky SM.","Nature. 2016 Feb 4;530(7588):51-56. doi: 10.1038/nature16933. Epub 2016 Jan 27.","Lorenzo-Redondo R","Nature","2016","2016/01/28","PMC4865637","NIHMS746503","10.1038/nature16933"
"28912582","Evolution of gag and gp41 in Patients Receiving Ritonavir-Boosted Protease Inhibitors","Manasa J, Varghese V, Pond SLK, Rhee SY, Tzou PL, Fessel WJ, Jang KS, White E, Rögnvaldsson T, Katzenstein DA, Shafer RW.","Sci Rep. 2017 Sep 14;7(1):11559. doi: 10.1038/s41598-017-11893-8.","Manasa J","Sci Rep","2017","2017/09/16","PMC5599673",',"10.1038/s41598-017-11893-8"
"36693533","The phylogenomics and evolutionary dynamics of the organellar genomes in carnivorous Utricularia and Genlisea species (Lentibulariaceae)","Silva SR, Miranda VFO, Michael TP, Płachno BJ, Matos RG, Adamec L, Pond SLK, Lucaci AG, Pinheiro DG, Varani AM.","Mol Phylogenet Evol. 2023 Apr;181:107711. doi: 10.1016/j.ympev.2023.107711. Epub 2023 Jan 21.","Silva SR","Mol Phylogenet Evol","2023","2023/01/24",',',"10.1016/j.ympev.2023.107711"
"26194754","Assigning and visualizing germline genes in antibody repertoires","Frost SD, Murrell B, Hossain AS, Silverman GJ, Pond SL.","Philos Trans R Soc Lond B Biol Sci. 2015 Sep 5;370(1676):20140240. doi: 10.1098/rstb.2014.0240.","Frost SD","Philos Trans R Soc Lond B Biol Sci","2015","2015/07/22","PMC4528417",',"10.1098/rstb.2014.0240"
"28419276","Molecular Features of the V1-V4 Coding Region of Sexually Transmitted Human Immunodeficiency Virus Type 1","Choi JY, Pond SLK, Anderson CM, Richman DD, Smith DM.","J Infect Dis. 2017 May 15;215(10):1506-1513. doi: 10.1093/infdis/jix184.","Choi JY","J Infect Dis","2017","2017/04/19","PMC6281333",',"10.1093/infdis/jix184"
"15509596","HyPhy: hypothesis testing using phylogenies","Pond SL, Frost SD, Muse SV.","Bioinformatics. 2005 Mar 1;21(5):676-9. doi: 10.1093/bioinformatics/bti079. Epub 2004 Oct 27.","Pond SL","Bioinformatics","2005","2004/10/29",',',"10.1093/bioinformatics/bti079"
"19864470","Evolutionary fingerprinting of genes","Pond SL, Scheffler K, Gravenor MB, Poon AF, Frost SD.","Mol Biol Evol. 2010 Mar;27(3):520-36. doi: 10.1093/molbev/msp260. Epub 2009 Oct 28.","Pond SL","Mol Biol Evol","2010","2009/10/30","PMC2877558",',"10.1093/molbev/msp260"
"35700134","Susceptibility of SARS-CoV-2 Omicron Variants to Therapeutic Monoclonal Antibodies: Systematic Review and Meta-analysis","Tao K, Tzou PL, Kosakovsky Pond SL, Ioannidis JPA, Shafer RW.","Microbiol Spectr. 2022 Aug 31;10(4):e0092622. doi: 10.1128/spectrum.00926-22. Epub 2022 Jun 14.","Tao K","Microbiol Spectr","2022","2022/06/14","PMC9430471",',"10.1128/spectrum.00926-22"
"37220645","Identification of Evolutionary Trajectories Shared across Human Betacoronaviruses","Escalera-Zamudio M, Kosakovsky Pond SL, Martínez de la Viña N, Gutiérrez B, Inward RPD, Thézé J, van Dorp L, Castelán-Sánchez HG, Bowden TA, Pybus OG, Hulswit RJG.","Genome Biol Evol. 2023 Jun 1;15(6):evad076. doi: 10.1093/gbe/evad076.","Escalera-Zamudio M","Genome Biol Evol","2023","2023/05/23","PMC10282123",',"10.1093/gbe/evad076"
"36712007","Natural selection differences detected in key protein domains between non-pathogenic and pathogenic Feline Coronavirus phenotypes","Zehr JD, Pond SLK, Millet JK, Olarte-Castillo XA, Lucaci AG, Shank SD, Ceres KM, Choi A, Whittaker GR, Goodman LB, Stanhope MJ.","bioRxiv [Preprint]. 2023 Jan 11:2023.01.11.523607. doi: 10.1101/2023.01.11.523607.","Zehr JD","bioRxiv","2023","2023/01/30","PMC9882035",',"10.1101/2023.01.11.523607"
"33942847","An Evolutionary Portrait of the Progenitor SARS-CoV-2 and Its Dominant Offshoots in COVID-19 Pandemic","Kumar S, Tao Q, Weaver S, Sanderford M, Caraballo-Ortiz MA, Sharma S, Pond SLK, Miura S.","Mol Biol Evol. 2021 Jul 29;38(8):3046-3059. doi: 10.1093/molbev/msab118.","Kumar S","Mol Biol Evol","2021","2021/05/04","PMC8135569",',"10.1093/molbev/msab118"
"20954840","Comparison of methods to detect HIV dual infection","Pacold M, Smith D, Little S, Cheng PM, Jordan P, Ignacio C, Richman D, Pond SK.","AIDS Res Hum Retroviruses. 2010 Dec;26(12):1291-8. doi: 10.1089/aid.2010.0042. Epub 2010 Oct 18.","Pacold M","AIDS Res Hum Retroviruses","2010","2010/10/20","PMC3011997",',"10.1089/aid.2010.0042"
"24151309","The global transmission network of HIV-1","Wertheim JO, Leigh Brown AJ, Hepler NL, Mehta SR, Richman DD, Smith DM, Kosakovsky Pond SL.","J Infect Dis. 2014 Jan 15;209(2):304-13. doi: 10.1093/infdis/jit524. Epub 2013 Oct 22.","Wertheim JO","J Infect Dis","2014","2013/10/24","PMC3873788",',"10.1093/infdis/jit524"
"40129111","A New Comparative Framework for Estimating Selection on Synonymous Substitutions","Verdonk H, Pivirotto A, Pavinato V, Hey J, Pond SLK.","Mol Biol Evol. 2025 Apr 1;42(4):msaf068. doi: 10.1093/molbev/msaf068.","Verdonk H","Mol Biol Evol","2025","2025/03/25","PMC11979333",',"10.1093/molbev/msaf068"
"17511511","A first look at ARFome: dual-coding genes in mammalian genomes","Chung WY, Wadhawan S, Szklarczyk R, Pond SK, Nekrutenko A.","PLoS Comput Biol. 2007 May;3(5):e91. doi: 10.1371/journal.pcbi.0030091.","Chung WY","PLoS Comput Biol","2007","2007/05/22","PMC1868773",',"10.1371/journal.pcbi.0030091"
"17652172","Rapid asymmetric evolution of a dual-coding tumor suppressor INK4a/ARF locus contradicts its function","Szklarczyk R, Heringa J, Pond SK, Nekrutenko A.","Proc Natl Acad Sci U S A. 2007 Jul 31;104(31):12807-12. doi: 10.1073/pnas.0703238104. Epub 2007 Jul 24.","Szklarczyk R","Proc Natl Acad Sci U S A","2007","2007/07/27","PMC1937548",',"10.1073/pnas.0703238104"
"30040081","Selection analyses of paired HIV-1 gag and gp41 sequences obtained before and after antiretroviral therapy","Tzou PL, Rhee SY, Pond SLK, Manasa J, Shafer RW.","Sci Data. 2018 Jul 24;5:180147. doi: 10.1038/sdata.2018.147.","Tzou PL","Sci Data","2018","2018/07/25","PMC6057438",',"10.1038/sdata.2018.147"
"29688481","Neutral Theory and Rapidly Evolving Viral Pathogens","Frost SDW, Magalis BR, Kosakovsky Pond SL.","Mol Biol Evol. 2018 Jun 1;35(6):1348-1354. doi: 10.1093/molbev/msy088.","Frost SDW","Mol Biol Evol","2018","2018/04/25","PMC6279309",',"10.1093/molbev/msy088"
"31597754","The replication-competent HIV-1 latent reservoir is primarily established near the time of therapy initiation","Abrahams MR, Joseph SB, Garrett N, Tyers L, Moeser M, Archin N, Council OD, Matten D, Zhou S, Doolabh D, Anthony C, Goonetilleke N, Karim SA, Margolis DM, Pond SK, Williamson C, Swanstrom R.","Sci Transl Med. 2019 Oct 9;11(513):eaaw5589. doi: 10.1126/scitranslmed.aaw5589.","Abrahams MR","Sci Transl Med","2019","2019/10/11","PMC7233356","NIHMS1060174","10.1126/scitranslmed.aaw5589"
"25646817","Comprehensive sieve analysis of breakthrough HIV-1 sequences in the RV144 vaccine efficacy trial","Edlefsen PT, Rolland M, Hertz T, Tovanabutra S, Gartland AJ, deCamp AC, Magaret CA, Ahmed H, Gottardo R, Juraska M, McCoy C, Larsen BB, Sanders-Buell E, Carrico C, Menis S, Kijak GH, Bose M; RV144 Sequencing Team; Arroyo MA, O'Connell RJ, Nitayaphan S, Pitisuttithum P, Kaewkungwal J, Rerks-Ngarm S, Robb ML, Kirys T, Georgiev IS, Kwong PD, Scheffler K, Pond SL, Carlson JM, Michael NL, Schief WR, Mullins JI, Kim JH, Gilbert PB.","PLoS Comput Biol. 2015 Feb 3;11(2):e1003973. doi: 10.1371/journal.pcbi.1003973. eCollection 2015 Feb.","Edlefsen PT","PLoS Comput Biol","2015","2015/02/04","PMC4315437",',"10.1371/journal.pcbi.1003973"
"37395787","Evolutionary Shortcuts via Multinucleotide Substitutions and Their Impact on Natural Selection Analyses","Lucaci AG, Zehr JD, Enard D, Thornton JW, Kosakovsky Pond SL.","Mol Biol Evol. 2023 Jul 5;40(7):msad150. doi: 10.1093/molbev/msad150.","Lucaci AG","Mol Biol Evol","2023","2023/07/03","PMC10336034",',"10.1093/molbev/msad150"
"34075377","Identification of evolutionary trajectories shared across human betacoronaviruses","Escalera-Zamudio M, Kosakovsky Pond SL, de la Viña NM, Gutiérrez B, Inward RPD, Thézé J, van Dorp L, Castelán-Sánchez HG, Bowden TA, Pybus OG, Hulswit RJG.","bioRxiv [Preprint]. 2023 Feb 7:2021.05.24.445313. doi: 10.1101/2021.05.24.445313.","Escalera-Zamudio M","bioRxiv","2023","2021/06/02","PMC8168386",',"10.1101/2021.05.24.445313"
"37112972","HIV-1 Group M Capsid Amino Acid Variability: Implications for Sequence Quality Control of Genotypic Resistance Testing","Tao K, Rhee SY, Tzou PL, Osman ZA, Pond SLK, Holmes SP, Shafer RW.","Viruses. 2023 Apr 18;15(4):992. doi: 10.3390/v15040992.","Tao K","Viruses","2023","2023/04/28","PMC10143361",',"10.3390/v15040992"
"33690265","Detection of a SARS-CoV-2 variant of concern in South Africa","Tegally H, Wilkinson E, Giovanetti M, Iranzadeh A, Fonseca V, Giandhari J, Doolabh D, Pillay S, San EJ, Msomi N, Mlisana K, von Gottberg A, Walaza S, Allam M, Ismail A, Mohale T, Glass AJ, Engelbrecht S, Van Zyl G, Preiser W, Petruccione F, Sigal A, Hardie D, Marais G, Hsiao NY, Korsman S, Davies MA, Tyers L, Mudau I, York D, Maslo C, Goedhals D, Abrahams S, Laguda-Akingba O, Alisoltani-Dehkordi A, Godzik A, Wibmer CK, Sewell BT, Lourenço J, Alcantara LCJ, Kosakovsky Pond SL, Weaver S, Martin D, Lessells RJ, Bhiman JN, Williamson C, de Oliveira T.","Nature. 2021 Apr;592(7854):438-443. doi: 10.1038/s41586-021-03402-9. Epub 2021 Mar 9.","Tegally H","Nature","2021","2021/03/10",',',"10.1038/s41586-021-03402-9"
"35042229","Rapid epidemic expansion of the SARS-CoV-2 Omicron variant in southern Africa","Viana R, Moyo S, Amoako DG, Tegally H, Scheepers C, Althaus CL, Anyaneji UJ, Bester PA, Boni MF, Chand M, Choga WT, Colquhoun R, Davids M, Deforche K, Doolabh D, du Plessis L, Engelbrecht S, Everatt J, Giandhari J, Giovanetti M, Hardie D, Hill V, Hsiao NY, Iranzadeh A, Ismail A, Joseph C, Joseph R, Koopile L, Kosakovsky Pond SL, Kraemer MUG, Kuate-Lere L, Laguda-Akingba O, Lesetedi-Mafoko O, Lessells RJ, Lockman S, Lucaci AG, Maharaj A, Mahlangu B, Maponga T, Mahlakwane K, Makatini Z, Marais G, Maruapula D, Masupu K, Matshaba M, Mayaphi S, Mbhele N, Mbulawa MB, Mendes A, Mlisana K, Mnguni A, Mohale T, Moir M, Moruisi K, Mosepele M, Motsatsi G, Motswaledi MS, Mphoyakgosi T, Msomi N, Mwangi PN, Naidoo Y, Ntuli N, Nyaga M, Olubayo L, Pillay S, Radibe B, Ramphal Y, Ramphal U, San JE, Scott L, Shapiro R, Singh L, Smith-Lawrence P, Stevens W, Strydom A, Subramoney K, Tebeila N, Tshiabuila D, Tsui J, van Wyk S, Weaver S, Wibmer CK, Wilkinson E, Wolter N, Zarebski AE, Zuze B, Goedhals D, Preiser W, Treurnicht F, Venter M, Williamson C, Pybus OG, Bhiman J, Glass A, Martin DP, Rambaut A, Gaseitsiwe S, von Gottberg A, de Oliveira T.","Nature. 2022 Mar;603(7902):679-686. doi: 10.1038/s41586-022-04411-y. Epub 2022 Jan 7.","Viana R","Nature","2022","2022/01/18","PMC8942855",',"10.1038/s41586-022-04411-y"
"34505896","Stepwise Evolution and Exceptional Conservation of ORF1a/b Overlap in Coronaviruses","Mei H, Kosakovsky Pond S, Nekrutenko A.","Mol Biol Evol. 2021 Dec 9;38(12):5678-5684. doi: 10.1093/molbev/msab265.","Mei H","Mol Biol Evol","2021","2021/09/10","PMC8499926",',"10.1093/molbev/msab265"
"25463602","HIV-1 neutralizing antibody response and viral genetic diversity characterized with next generation sequencing","Carter CC, Wagner GA, Hightower GK, Caballero G, Phung P, Richman DD, Pond SL, Smith DM.","Virology. 2015 Jan 1;474:34-40. doi: 10.1016/j.virol.2014.10.019. Epub 2014 Nov 11.","Carter CC","Virology","2015","2014/12/03","PMC4259848","NIHMS641790","10.1016/j.virol.2014.10.019"
"35561179","TopHap: rapid inference of key phylogenetic structures from common haplotypes in large genome collections with limited diversity","Caraballo-Ortiz MA, Miura S, Sanderford M, Dolker T, Tao Q, Weaver S, Pond SLK, Kumar S.","Bioinformatics. 2022 May 13;38(10):2719-2726. doi: 10.1093/bioinformatics/btac186.","Caraballo-Ortiz MA","Bioinformatics","2022","2022/05/13","PMC9113349",',"10.1093/bioinformatics/btac186"
"35014856","Predicting the mutational drivers of future SARS-CoV-2 variants of concern","Maher MC, Bartha I, Weaver S, di Iulio J, Ferri E, Soriaga L, Lempp FA, Hie BL, Bryson B, Berger B, Robertson DL, Snell G, Corti D, Virgin HW, Kosakovsky Pond SL, Telenti A.","Sci Transl Med. 2022 Feb 23;14(633):eabk3445. doi: 10.1126/scitranslmed.abk3445. Epub 2022 Feb 23.","Maher MC","Sci Transl Med","2022","2022/01/11","PMC8939770",',"10.1126/scitranslmed.abk3445"
"18353964","Persistence of transmitted drug resistance among subjects with primary human immunodeficiency virus infection","Little SJ, Frost SD, Wong JK, Smith DM, Pond SL, Ignacio CC, Parkin NT, Petropoulos CJ, Richman DD.","J Virol. 2008 Jun;82(11):5510-8. doi: 10.1128/JVI.02579-07. Epub 2008 Mar 19.","Little SJ","J Virol","2008","2008/03/21","PMC2395184",',"10.1128/JVI.02579-07"
"33853970","Genomics and epidemiology of the P.1 SARS-CoV-2 lineage in Manaus, Brazil","Faria NR, Mellan TA, Whittaker C, Claro IM, Candido DDS, Mishra S, Crispim MAE, Sales FCS, Hawryluk I, McCrone JT, Hulswit RJG, Franco LAM, Ramundo MS, de Jesus JG, Andrade PS, Coletti TM, Ferreira GM, Silva CAM, Manuli ER, Pereira RHM, Peixoto PS, Kraemer MUG, Gaburo N Jr, Camilo CDC, Hoeltgebaum H, Souza WM, Rocha EC, de Souza LM, de Pinho MC, Araujo LJT, Malta FSV, de Lima AB, Silva JDP, Zauli DAG, Ferreira ACS, Schnekenberg RP, Laydon DJ, Walker PGT, Schlüter HM, Dos Santos ALP, Vidal MS, Del Caro VS, Filho RMF, Dos Santos HM, Aguiar RS, Proença-Modena JL, Nelson B, Hay JA, Monod M, Miscouridou X, Coupland H, Sonabend R, Vollmer M, Gandy A, Prete CA Jr, Nascimento VH, Suchard MA, Bowden TA, Pond SLK, Wu CH, Ratmann O, Ferguson NM, Dye C, Loman NJ, Lemey P, Rambaut A, Fraiji NA, Carvalho MDPSS, Pybus OG, Flaxman S, Bhatt S, Sabino EC.","Science. 2021 May 21;372(6544):815-821. doi: 10.1126/science.abh2644. Epub 2021 Apr 14.","Faria NR","Science","2021","2021/04/15","PMC8139423",',"10.1126/science.abh2644"
"35137080","Exploring the Natural Origins of SARS-CoV-2 in the Light of Recombination","Lytras S, Hughes J, Martin D, Swanepoel P, de Klerk A, Lourens R, Kosakovsky Pond SL, Xia W, Jiang X, Robertson DL.","Genome Biol Evol. 2022 Feb 4;14(2):evac018. doi: 10.1093/gbe/evac018.","Lytras S","Genome Biol Evol","2022","2022/02/09","PMC8882382",',"10.1093/gbe/evac018"
"34931186","TopHap: Rapid inference of key phylogenetic structures from common haplotypes in large genome collections with limited diversity","Caraballo-Ortiz MA, Miura S, Sanderford M, Dolker T, Tao Q, Weaver S, Pond SLK, Kumar S.","bioRxiv [Preprint]. 2021 Dec 14:2021.12.13.472454. doi: 10.1101/2021.12.13.472454.","Caraballo-Ortiz MA","bioRxiv","2021","2021/12/21","PMC8687460",',"10.1101/2021.12.13.472454"
"16107593","Site-to-site variation of synonymous substitution rates","Pond SK, Muse SV.","Mol Biol Evol. 2005 Dec;22(12):2375-85. doi: 10.1093/molbev/msi232. Epub 2005 Aug 17.","Pond SK","Mol Biol Evol","2005","2005/08/19",',',"10.1093/molbev/msi232"
